EmployeeID,FirstName,LastName,CompanyEmail,DesignationID,TeamID,IsActive,TicketID,TicketNumber,Subject,Description,StatusCode,PriorityCode,CreatedAt,ClosedAt,AssignedToID
1,Samantha,George,samantha.george@echobyte.com,9,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Michele,Jones,michele.jones@echobyte.com,2,2,1,112,TKT-2024-0112,Need help with permission changes in CRM system,"Since last week, I've been unable to account creation in ERP system. This is affecting accessing project files.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,HIGH,2024-12-04 12:05:00.000,2024-12-04 16:05:00.000,257
3,Sara,Allison,sara.allison@echobyte.com,9,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Brooke,Harvey,brooke.harvey@echobyte.com,1,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,John,Odonnell,john.odonnell@echobyte.com,9,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Harry,Middleton,harry.middleton@echobyte.com,7,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Sara,Ryan,sara.ryan@echobyte.com,10,7,1,49,TKT-2025-0049,laptop slow performance - urgent assistance needed,I'm experiencing battery not charging with my MacBook. The problem started this morning and I've attempted updating drivers. This is preventing me from complete my reports.,Closed,MED,2025-04-05 14:53:00.000,2025-04-06 05:53:00.000,142
8,John,Alvarez,john.alvarez@echobyte.com,4,8,1,162,TKT-2025-0162,DNS resolution failures - need immediate assistance,"Network connectivity is not connecting in conference room. I need this resolved urgently as it affects communicating with clients.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,URG,2025-02-26 16:04:00.000,2025-02-26 23:04:00.000,110
9,Matthew,Orozco,matthew.orozco@echobyte.com,7,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Amanda,Meadows,amanda.meadows@echobyte.com,4,10,1,124,TKT-2025-0124,Unable to charge on Dell laptop - blue screen,I'm experiencing freezing with my ThinkPad. The problem started this morning and I've attempted restarting the device. This is preventing me from access critical files.,Closed,LOW,2025-02-09 09:12:00.000,2025-02-10 02:12:00.000,55
10,Amanda,Meadows,amanda.meadows@echobyte.com,4,10,1,156,TKT-2025-0156,Network connectivity problem: dropping frequently,"Location: conference room
Issue: Network printer not responding
Symptoms: very slow
Steps taken: trying different locations
Impact: accessing critical files",Closed,MED,2025-01-24 14:43:00.000,2025-01-24 22:43:00.000,259
11,Tami,Rodriguez,tami.rodriguez@echobyte.com,2,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Melissa,Rivas,melissa.rivas@echobyte.com,1,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Andrea,Bell,andrea.bell@echobyte.com,6,13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Tammy,King,tammy.king@echobyte.com,4,14,1,182,TKT-2025-0182,laptop freezing when turn on,My Dell laptop (Model: ThinkPad T14) started blue screen after Windows update. I've tried Updated device drivers but the issue persists. This is affecting my ability to complete my reports.,Closed,LOW,2025-03-03 13:01:00.000,2025-03-04 17:01:00.000,504
15,Justin,Heath,justin.heath@echobyte.com,6,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Kathryn,Thompson,kathryn.thompson@echobyte.com,9,16,1,178,TKT-2025-0178,WiFi connection dropping frequently in cafeteria,"Location: conference room
Issue: DNS resolution failures
Symptoms: dropping frequently
Steps taken: restarting router
Impact: communicating with clients",Closed,MED,2025-02-02 09:01:00.000,2025-02-02 18:01:00.000,322
